league_id,region,region_flag,region_url,league,league_crest,league_url,date_updated,last_updated,other_names,abbreviations,search_terms
IRAQ_STARS_LEAGUE,IRAQ,Unknown,None,Stars League,Unknown,https://www.flashscore.com/football/iraq/stars-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
ISRAEL_LIGA_ALEF_NORTH,ISRAEL,Unknown,None,Liga Alef North,Unknown,https://www.flashscore.com/football/israel/liga-alef-north/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
ISRAEL_LIGA_ALEF_SOUTH,ISRAEL,Unknown,None,Liga Alef South,Unknown,https://www.flashscore.com/football/israel/liga-alef-south/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
JORDAN_PREMIER_LEAGUE,JORDAN,Unknown,None,Premier League,Unknown,https://www.flashscore.com/football/jordan/premier-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
KENYA_PREMIER_LEAGUE,KENYA,Unknown,None,Premier League,Unknown,https://www.flashscore.com/football/kenya/premier-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
LIBYA_PREMIER_LEAGUE,LIBYA,Unknown,None,Premier League,Unknown,https://www.flashscore.com/football/libya/premier-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
MAURITIUS_SUPER_LEAGUE,MAURITIUS,Unknown,None,Super League,Unknown,https://www.flashscore.com/football/mauritius/super-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
MYANMAR_NATIONAL_LEAGUE,MYANMAR,Unknown,None,National League,Unknown,https://www.flashscore.com/football/myanmar/national-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
NICARAGUA_LIGA_PRIMERA,NICARAGUA,Unknown,None,Liga Primera,Unknown,https://www.flashscore.com/football/nicaragua/liga-primera/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
NORTH_CENTRAL_AMERICA_CONCACAF_CHAMPIONS_CUP,NORTH & CENTRAL AMERICA,Unknown,None,CONCACAF Champions Cup,Unknown,https://www.flashscore.com/football/north-central-america/concacaf-champions-cup/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
NORTH_CENTRAL_AMERICA_CONCACAF_CHAMPIONSHIP_U20,NORTH & CENTRAL AMERICA,Unknown,None,CONCACAF Championship U20,Unknown,https://www.flashscore.com/football/north-central-america/concacaf-championship-u20/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
OMAN_PROFESSIONAL_LEAGUE,OMAN,Unknown,None,Professional League,Unknown,https://www.flashscore.com/football/oman/professional-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
PARAGUAY_COPA_DE_PRIMERA,PARAGUAY,Unknown,None,Copa de Primera,Unknown,https://www.flashscore.com/football/paraguay/copa-de-primera/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
QATAR_QSL,QATAR,Unknown,None,QSL,Unknown,https://www.flashscore.com/football/qatar/qsl/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
ROMANIA_LIGA_2,ROMANIA,Unknown,None,Liga 2,Unknown,https://www.flashscore.com/football/romania/liga-2/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
SAUDI_ARABIA_SAUDI_PROFESSIONAL_LEAGUE,SAUDI ARABIA,Unknown,None,Saudi Professional League,Unknown,https://www.flashscore.com/football/saudi-arabia/saudi-professional-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
SEYCHELLES_PREMIER_LEAGUE,SEYCHELLES,Unknown,None,Premier League,Unknown,https://www.flashscore.com/football/seychelles/premier-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
SINGAPORE_PREMIER_LEAGUE,SINGAPORE,Unknown,None,Premier League,Unknown,https://www.flashscore.com/football/singapore/premier-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
TANZANIA_LIGI_KUU_BARA,TANZANIA,Unknown,None,Ligi Kuu Bara,Unknown,https://www.flashscore.com/football/tanzania/ligi-kuu-bara/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
UKRAINE_U19_LEAGUE,UKRAINE,Unknown,None,U19 League,Unknown,https://www.flashscore.com/football/ukraine/u19-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
UNITED_ARAB_EMIRATES_UAE_LEAGUE,UNITED ARAB EMIRATES,Unknown,None,UAE League,Unknown,https://www.flashscore.com/football/united-arab-emirates/uae-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
UNITED_ARAB_EMIRATES_DIVISION_1,UNITED ARAB EMIRATES,Unknown,None,Division 1,Unknown,https://www.flashscore.com/football/united-arab-emirates/division-1/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
UNITED_ARAB_EMIRATES_PRO_LEAGUE_U23,UNITED ARAB EMIRATES,Unknown,None,Pro League U23,Unknown,https://www.flashscore.com/football/united-arab-emirates/pro-league-u23/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
WORLD_FRIENDLY_INTERNATIONAL,WORLD,Unknown,None,Friendly International,Unknown,https://www.flashscore.com/football/world/friendly-international/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
WORLD_CLUB_FRIENDLY,WORLD,Unknown,None,Club Friendly,Unknown,https://www.flashscore.com/football/world/club-friendly/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
ZAMBIA_SUPER_LEAGUE,ZAMBIA,Unknown,None,Super League,Unknown,https://www.flashscore.com/football/zambia/super-league/,26.02.2026,2026-02-26T02:32:52.34918+00:00,[],[],[]
