fixture_id,date,match_time,region_league,league_id,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,match_link,league_stage,last_updated
IuwpEsgS,,22:00,ALGERIA - Ligue 1,Unknown,MC Alger,Kabylie,Wfaskwf0,tnY2Lfcp,-,-,finished,https://www.flashscore.com/match/football/kabylie-Wfaskwf0/mc-alger-tnY2Lfcp/?mid=IuwpEsgS,Unknown,2026-02-26T13:19:47.037417+00:00
0YyABEQp,,21:15,ARGENTINA - Liga Profesional - Apertura,Unknown,Racing Club,Ind. Rivadavia,Eg51aDC4,OhapHPm9,-,-,finished,https://www.flashscore.com/match/football/ind-rivadavia-Eg51aDC4/racing-club-OhapHPm9/?mid=0YyABEQp,Unknown,2026-02-26T13:19:47.037417+00:00
8t0uA1kt,,21:15,ARGENTINA - Liga Profesional - Apertura,Unknown,Sarmiento Junin,Union de Santa Fe,KQ6kGfyc,lr2YMkTK,-,-,finished,https://www.flashscore.com/match/football/sarmiento-junin-KQ6kGfyc/union-de-santa-fe-lr2YMkTK/?mid=8t0uA1kt,Unknown,2026-02-26T13:19:47.037417+00:00
YNiVIdYA,,23:30,ARGENTINA - Liga Profesional - Apertura,Unknown,Estudiantes Rio Cuarto,Huracan,llpcIYF2,xd3lGq3F,-,-,finished,https://www.flashscore.com/match/football/estudiantes-rio-cuarto-llpcIYF2/huracan-xd3lGq3F/?mid=YNiVIdYA,Unknown,2026-02-26T13:19:47.037417+00:00
tUEdZHIi,,23:30,ARGENTINA - Liga Profesional - Apertura,Unknown,River Plate,Banfield,GIb40wNM,EVqSBe2f,-,-,finished,https://www.flashscore.com/match/football/banfield-GIb40wNM/river-plate-EVqSBe2f/?mid=tUEdZHIi,Unknown,2026-02-26T13:19:47.037417+00:00
t4kl8pdt,,23:00,BRAZIL - Serie A Betano,Unknown,Santos,Vasco,n3QdnjFB,2RABlYFn,-,-,finished,https://www.flashscore.com/match/football/santos-n3QdnjFB/vasco-2RABlYFn/?mid=t4kl8pdt,Unknown,2026-02-26T13:19:47.037417+00:00
nudN2uGE,,21:00,BRAZIL - Carioca,Unknown,Nova Iguacu,Portuguesa RJ,6ZOUj7Tc,MVetMLIi,-,-,finished,https://www.flashscore.com/match/football/nova-iguacu-6ZOUj7Tc/portuguesa-rj-MVetMLIi/?mid=nudN2uGE,Relegation Group,2026-02-26T13:19:47.037417+00:00
fo9yuxO7,,21:00,BRAZIL - Carioca,Unknown,Sampaio Correa FE,Marica,xW7xjZkH,6idiTLqA,-,-,finished,https://www.flashscore.com/match/football/marica-xW7xjZkH/sampaio-correa-fe-6idiTLqA/?mid=fo9yuxO7,Relegation Group,2026-02-26T13:19:47.037417+00:00
2ZHABwkf,,23:30,BRAZIL - Catarinense,Unknown,Carlos Renaux,Marcilio Dias,O65ncMeB,4WlWHbGF,-,-,finished,https://www.flashscore.com/match/football/carlos-renaux-O65ncMeB/marcilio-dias-4WlWHbGF/?mid=2ZHABwkf,Relegation Group,2026-02-26T13:19:47.037417+00:00
Im6g3bfn,,23:00,BRAZIL - Cearense,Unknown,Ferroviario,Floresta EC,0UkwhBW8,6cfVpFuD,-,-,finished,https://www.flashscore.com/match/football/ferroviario-0UkwhBW8/floresta-ec-6cfVpFuD/?mid=Im6g3bfn,Play Offs,2026-02-26T13:19:47.037417+00:00
