standings_key,league_id,team_id,team_name,position,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,last_updated,region_league
ELITE_ONE_Y1BBY8IP,ELITE_ONE,Y1bbY8ip,Bafang,1,1,1,9,3,9,6,3,16,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_VLT173OM,ELITE_ONE,vLt173Om,Gazelle,2,1,2,6,2,6,4,2,13,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_IB1GNYVJ,ELITE_ONE,IB1gnyvJ,Cotonsport,3,3,0,9,6,9,3,6,12,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_RCZUOCZN,ELITE_ONE,rczUOCZn,Victoria United,4,0,3,12,4,12,8,4,12,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_TTO1EEN8,ELITE_ONE,tto1EEn8,Bamenda,5,0,2,9,3,9,6,3,12,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_XZUSCH18,ELITE_ONE,xzuSCh18,Dynamo Douala,6,1,2,11,3,11,8,3,10,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_48CKMHOC,ELITE_ONE,48ckmHOC,Canon Yaounde,7,2,2,6,1,6,5,1,8,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_27XPRZXK,ELITE_ONE,27xPRZxk,Colombe,8,2,2,5,0,5,5,0,8,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_MPLYHPAS,ELITE_ONE,MPLYHPAs,Panthere,9,1,3,4,0,4,4,0,7,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_CTKHC1EF,ELITE_ONE,Ctkhc1eF,Aigle Moungo,10,3,3,5,-2,5,7,-2,6,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_6CHW78M1,ELITE_ONE,6cHw78m1,Aigle Royal,11,3,3,7,-3,7,10,-3,6,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_XBAIWGW5,ELITE_ONE,xbAIWGw5,Fauve Azur Elite,12,0,5,4,-4,4,8,-4,6,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_G87EIVIL,ELITE_ONE,G87EIVIl,Stade Renard,13,5,2,9,-4,9,13,-4,5,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
ELITE_ONE_0DGUEAP0,ELITE_ONE,0dGuEAp0,Fortuna Mfou,14,2,4,5,-9,5,14,-9,5,2026-02-26T04:46:15.372558+00:00,CAMEROON - ELITE ONE - ROUND 7
PREMIERE_DIVISION_6BTZSN13,PREMIERE_DIVISION,6BtZsN13,Foullah Edifice,1,1,2,39,26,39,13,26,40,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_F5K1QMG0,PREMIERE_DIVISION,f5K1qMG0,Renaissance,2,3,3,37,18,37,19,18,33,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_FD4C3XYP,PREMIERE_DIVISION,fD4c3xYP,Sovotours,3,4,3,25,14,25,11,14,31,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_RPCCUZUJ,PREMIERE_DIVISION,rPcCuZuJ,Colombe,4,3,6,22,2,22,20,2,27,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_VWMX58DG,PREMIERE_DIVISION,vwMX58dg,Emat,5,2,6,22,8,22,14,8,26,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_LJT67ESH,PREMIERE_DIVISION,ljt67esH,Yves,6,2,7,27,7,27,20,7,26,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_LNDSP8WR,PREMIERE_DIVISION,lndSP8WR,As Dgssie,7,6,5,23,2,23,21,2,24,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_GYCKRU1F,PREMIERE_DIVISION,GYcKRU1F,Stars J. Talents,8,3,6,25,-1,25,26,-1,24,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_JOX7CKY0,PREMIERE_DIVISION,joX7cky0,Gazelle,9,3,7,21,-2,21,23,-2,21,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_PIZE5ZBT,PREMIERE_DIVISION,pIZE5ZBT,Galactik,10,6,6,21,-2,21,23,-2,21,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_CW5XMIDC,PREMIERE_DIVISION,CW5xMidc,Fehra,11,3,8,20,-6,20,26,-6,18,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_LFMTRCRA,PREMIERE_DIVISION,lfMtrcrA,CotonTchad,12,4,9,19,-16,19,35,-16,16,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_LAAYJK6L,PREMIERE_DIVISION,lAAYjK6l,USM,13,2,11,19,-20,19,39,-20,14,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
PREMIERE_DIVISION_VYVAI1P5,PREMIERE_DIVISION,vyVAI1p5,Tourbillon,14,2,14,9,-30,9,39,-30,2,2026-02-26T04:55:51.316139+00:00,CHAD - PREMIERE DIVISION - LPFN - ROUND 17
