fixture_id,date,match_time,region_league,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,match_link
8hh38MFa,12.12.25,N/A,UGANDA - PREMIER LEAGUE - ROUND 12,Kampala City,NEC FC,fwjo7kpb,vXYNKJKR,2,1,finished,https://www.flashscore.com/match/football/kampala-city-fwjo7kpb/nec-fc-vXYNKJKR/?mid=8hh38MFa
lMOHvSYI,12.12.25,N/A,GERMANY - 2. BUNDESLIGA - ROUND 17,Greuther Furth,Hertha Berlin,CCQGbik8,2y0u8Wrq,3,3,finished,https://www.flashscore.com/match/football/greuther-furth-CCQGbik8/hertha-berlin-2y0u8Wrq/?mid=lMOHvSYI
6ceremJa,12.12.25,N/A,GERMANY - 2. BUNDESLIGA - ROUND 17,SG Dynamo Dresden,Braunschweig,QqLCC3il,zL1YsOi1,2,3,finished,https://www.flashscore.com/match/football/braunschweig-QqLCC3il/dresden-zL1YsOi1/?mid=6ceremJa
2RFXYkLa,12.12.25,N/A,GERMANY - BUNDESLIGA WOMEN - ROUND 14,Werder Bremen W,Bayer Leverkusen W,hjuyw2Kb,vyDE3LZH,1,0,finished,https://www.flashscore.com/match/football/bayer-leverkusen-hjuyw2Kb/werder-bremen-vyDE3LZH/?mid=2RFXYkLa
GpKii4Za,12.12.25,N/A,MALTA - PREMIER LEAGUE - FIRST STAGE - PLAY OUT - ROUND 16,Mosta,Zabbar,htCyNMwL,MZkrZYmQ,1,1,finished,https://www.flashscore.com/match/football/mosta-fc-htCyNMwL/zabbar-MZkrZYmQ/?mid=GpKii4Za
K60pkyZP,12.12.25,N/A,EGYPT - LEAGUE CUP - ROUND 6,Al Ahly,Enppi,EPsYDm4A,2wpo7PBj,0,1,finished,https://www.flashscore.com/match/football/al-ahly-EPsYDm4A/enppi-2wpo7PBj/?mid=K60pkyZP
v3qamjyB,12.12.25,N/A,WORLD - CLUB FRIENDLY,Ulm,VfL Osnabruck,tbC3EcQn,88Xgj1Y5,3,5,finished,https://www.flashscore.com/match/football/ulm-tbC3EcQn/vfl-osnabruck-88Xgj1Y5/?mid=v3qamjyB
YastA1Lr,12.12.25,N/A,PORTUGAL - LIGA PORTUGAL 2 - ROUND 17,FC Porto B,Penafiel,vNt65kUG,lGALDDtR,1,0,finished,https://www.flashscore.com/match/football/fc-porto-vNt65kUG/penafiel-lGALDDtR/?mid=YastA1Lr
vaP7S9yA,12.12.25,N/A,PORTUGAL - LIGA PORTUGAL 2 - ROUND 17,Oliveirense,Chaves,vsToxqA5,tA7VEKwU,2,3,finished,https://www.flashscore.com/match/football/chaves-vsToxqA5/oliveirense-tA7VEKwU/?mid=vaP7S9yA
46fv94HE,12.12.25,N/A,SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 19,Betis B,Alcorcon,0ranWp9D,GzVElN7C,2,1,finished,https://www.flashscore.com/match/football/alcorcon-0ranWp9D/betis-GzVElN7C/?mid=46fv94HE
8CODBOBi,12.12.2025,18:30,FRANCE - National,Chateauroux,Dijon,jZ2ZFJqe,dIvQQaE7,,,scheduled,https://www.flashscore.com/match/football/chateauroux-jZ2ZFJqe/dijon-dIvQQaE7/?mid=8CODBOBi
0SxN7tBG,12.12.25,N/A,FRANCE - COUPE DE FRANCE - 1/16-FINALS,Le Puy-en-Velay,Fleury-Merogis,IooxkpEI,xnng4dGk,2,1,finished,https://www.flashscore.com/match/football/fleury-merogis-IooxkpEI/le-puy-en-velay-xnng4dGk/?mid=0SxN7tBG
8htV5KuT,12.12.25,N/A,FRANCE - COUPE DE FRANCE - 1/16-FINALS,Orleans,Versailles,AqswAEFD,nDjHIbwL,2,0,finished,https://www.flashscore.com/match/football/orleans-AqswAEFD/versailles-nDjHIbwL/?mid=8htV5KuT
hQH10b3j,12.12.2025,18:30,FRANCE - National,Paris 13 Atl.,Concarneau,Uo57pG95,WnjEIzRL,,,scheduled,https://www.flashscore.com/match/football/concarneau-Uo57pG95/paris-13-atletico-WnjEIzRL/?mid=hQH10b3j
KW9mO1ec,12.12.2025,18:30,FRANCE - National,Stade Briochin,Aubagne,ry31K39D,CQxeodfa,,,scheduled,https://www.flashscore.com/match/football/aubagne-fc-ry31K39D/stade-briochin-CQxeodfa/?mid=KW9mO1ec
EV2dMuQ9,12.12.2025,18:30,FRANCE - National,Valenciennes,Sochaux,jPojkLXK,O8dsB372,,,scheduled,https://www.flashscore.com/match/football/sochaux-jPojkLXK/valenciennes-O8dsB372/?mid=EV2dMuQ9
nq14KJfM,12.12.2025,18:30,FRANCE - National,Villefranche,Bourg en Bresse,Ict2iv2P,K6STnbAt,,,scheduled,https://www.flashscore.com/match/football/bourg-peronnas-Ict2iv2P/villefranche-K6STnbAt/?mid=nq14KJfM
Agt60KG5,12.12.25,N/A,ROMANIA - SUPERLIGA - ROUND 21,CFR Cluj,Csikszereda M. Ciuc,4KfIhq7B,A5gTQ7pG,3,1,finished,https://www.flashscore.com/match/football/cfr-cluj-4KfIhq7B/miercurea-ciuc-A5gTQ7pG/?mid=Agt60KG5
xth4FO0b,12.12.25,N/A,SWITZERLAND - CHALLENGE LEAGUE - ROUND 18,Rapperswil-Jona,Vaduz,I3q2AOtB,G6Ih9GOj,0,4,finished,https://www.flashscore.com/match/football/rapperswil-jona-I3q2AOtB/vaduz-G6Ih9GOj/?mid=xth4FO0b
jgiiq16r,12.12.25,N/A,BELGIUM - CHALLENGER PRO LEAGUE - ROUND 19,Beveren,Anderlecht U23,KQtAqOh9,QaqfE8WE,2,1,finished,https://www.flashscore.com/match/football/anderlecht-KQtAqOh9/sk-beveren-QaqfE8WE/?mid=jgiiq16r
GU9r99ET,12.12.25,N/A,BELGIUM - CHALLENGER PRO LEAGUE - ROUND 19,Lommel SK,Gent U23,6qX8q0TR,8EyXqyoo,2,0,finished,https://www.flashscore.com/match/football/gent-6qX8q0TR/lommel-sk-8EyXqyoo/?mid=GU9r99ET
Obcow5l2,12.12.25,N/A,ENGLAND - PREMIER LEAGUE CUP,Cardiff U21,QPR U21,ltdeqDcb,tSn0vwwG,3,1,finished,https://www.flashscore.com/match/football/cardiff-ltdeqDcb/qpr-tSn0vwwG/?mid=Obcow5l2
GGWaAFEb,12.12.25,N/A,ENGLAND - PREMIER LEAGUE CUP,Norwich U21,Sunderland U21,b3ceuJN9,ELGqWEpd,1,1,finished,https://www.flashscore.com/match/football/norwich-b3ceuJN9/sunderland-ELGqWEpd/?mid=GGWaAFEb
GAe87SG7,12.12.25,N/A,EUROPE - PREMIER LEAGUE INTERNATIONAL CUP,Nottingham U21,Millwall U21,6FRLlnfU,bmFCwchM,2,1,finished,https://www.flashscore.com/match/football/millwall-6FRLlnfU/nottingham-bmFCwchM/?mid=GAe87SG7
xjkvj23M,12.12.25,N/A,FRANCE - LIGUE 2 - ROUND 18,Annecy,Le Mans,25dB6Eto,ER0NeOOp,1,2,finished,https://www.flashscore.com/match/football/annecy-25dB6Eto/le-mans-ER0NeOOp/?mid=xjkvj23M
UJ2Ngp4c,12.12.25,N/A,FRANCE - COUPE DE FRANCE - 1/16-FINALS,Laval,Dunkerque,tAAobNse,E1wDrLsJ,1,2,finished,https://www.flashscore.com/match/football/dunkerque-tAAobNse/laval-E1wDrLsJ/?mid=UJ2Ngp4c
pdC56Nm3,12.12.25,N/A,FRANCE - LIGUE 2 - ROUND 18,Nancy,Clermont,IRuMRua1,dnIrsS0A,1,0,finished,https://www.flashscore.com/match/football/clermont-IRuMRua1/nancy-dnIrsS0A/?mid=pdC56Nm3
UmUIrKed,12.12.25,N/A,FRANCE - COUPE DE FRANCE - 1/16-FINALS,Pau FC,Amiens,lKkBAsxF,6NOhR4cm,1,2,finished,https://www.flashscore.com/match/football/amiens-sc-lKkBAsxF/pau-6NOhR4cm/?mid=UmUIrKed
dzWAptRq,12.12.25,N/A,FRANCE - LIGUE 2 - ROUND 18,Rodez,Guingamp,QDfKl36E,0pOdQOCg,2,1,finished,https://www.flashscore.com/match/football/guingamp-QDfKl36E/rodez-0pOdQOCg/?mid=dzWAptRq
tQML92t4,12.12.2025,19:00,FRANCE - National,Rouen,Quevilly Rouen,fPCzUHN1,z5PJrrtm,,,scheduled,https://www.flashscore.com/match/football/quevilly-fPCzUHN1/rouen-z5PJrrtm/?mid=tQML92t4
Gp6jlOFb,12.12.25,N/A,NETHERLANDS - EERSTE DIVISIE - ROUND 22,De Graafschap,Roda,naL1J006,6FRTNZ8p,2,3,finished,https://www.flashscore.com/match/football/de-graafschap-naL1J006/roda-6FRTNZ8p/?mid=Gp6jlOFb
8K2rjpon,12.12.25,N/A,NETHERLANDS - EERSTE DIVISIE - ROUND 22,Den Bosch,Venlo,4IzxgrNP,UNA6IKFC,0,1,finished,https://www.flashscore.com/match/football/den-bosch-4IzxgrNP/venlo-UNA6IKFC/?mid=8K2rjpon
46xYVt0U,12.12.25,N/A,NETHERLANDS - EERSTE DIVISIE - ROUND 21,Dordrecht,Eindhoven FC,fT0n14Vt,YJaj0Opm,3,4,finished,https://www.flashscore.com/match/football/dordrecht-fT0n14Vt/eindhoven-fc-YJaj0Opm/?mid=46xYVt0U
CbKQX2VH,12.12.25,N/A,NETHERLANDS - EERSTE DIVISIE - ROUND 21,FC Emmen,Helmond,Stafar0g,SQGBcMU5,4,1,finished,https://www.flashscore.com/match/football/fc-emmen-Stafar0g/helmond-sport-SQGBcMU5/?mid=CbKQX2VH
GWQHZO05,12.12.25,N/A,NETHERLANDS - EERSTE DIVISIE - ROUND 22,Jong AZ,Jong Utrecht,lKIgIV5b,2J6mntb0,1,4,finished,https://www.flashscore.com/match/football/jong-az-alkmaar-lKIgIV5b/jong-utrecht-2J6mntb0/?mid=GWQHZO05
rJS9yoWh,12.12.25,N/A,NETHERLANDS - EERSTE DIVISIE - ROUND 21,Jong PSV,Almere City,IsK0b0aI,8Au8eRom,2,3,finished,https://www.flashscore.com/match/football/almere-city-IsK0b0aI/jong-psv-8Au8eRom/?mid=rJS9yoWh
niZ0w71t,12.12.25,N/A,NETHERLANDS - EERSTE DIVISIE - ROUND 21,Maastricht,Jong Ajax,GncWwxTm,YPQnAtpC,2,1,finished,https://www.flashscore.com/match/football/jong-ajax-GncWwxTm/maastricht-YPQnAtpC/?mid=niZ0w71t
IyaiJ3GO,12.12.25,N/A,NETHERLANDS - EERSTE DIVISIE - ROUND 21,Oss,Den Haag,lAgLCkT3,40amSqFn,3,4,finished,https://www.flashscore.com/match/football/den-haag-lAgLCkT3/top-oss-40amSqFn/?mid=IyaiJ3GO
ld7zNoHa,12.12.25,N/A,NETHERLANDS - EERSTE DIVISIE - ROUND 21,Willem II,Cambuur,QRyYgO7J,6u3qag0G,0,1,finished,https://www.flashscore.com/match/football/cambuur-QRyYgO7J/willem-ii-6u3qag0G/?mid=ld7zNoHa
lv2YrW8M,12.12.25,N/A,WORLD - CLUB FRIENDLY,Aarau,Etoile-Carouge,ULGuGvHA,2yxbMEDr,2,1,finished,https://www.flashscore.com/match/football/aarau-ULGuGvHA/etoile-carouge-2yxbMEDr/?mid=lv2YrW8M
YZLSPZKc,12.12.25,N/A,GERMANY - BUNDESLIGA - ROUND 16,Union Berlin,RB Leipzig,KbS1suSm,pzHW4oaE,3,1,finished,https://www.flashscore.com/match/football/rb-leipzig-KbS1suSm/union-berlin-pzHW4oaE/?mid=YZLSPZKc
SnKRXvWj,12.12.2025,19:30,AUSTRIA - 2. Liga,Amstetten,Admira,Yk4H6LHn,YHWHwmRf,,,scheduled,https://www.flashscore.com/match/football/admira-Yk4H6LHn/amstetten-YHWHwmRf/?mid=SnKRXvWj
l2WIOF3d,12.12.25,N/A,ITALY - SERIE B - ROUND 19,Palermo,Sampdoria,n38Nktmn,nJbCGx2U,1,0,finished,https://www.flashscore.com/match/football/palermo-n38Nktmn/sampdoria-nJbCGx2U/?mid=l2WIOF3d
tScM8Foo,12.12.25,N/A,ITALY - SERIE C - GROUP B - ROUND 20,Juventus U23,Pianese,pW9laeGO,drgCKhvg,0,0,finished,https://www.flashscore.com/match/football/juventus-pW9laeGO/pianese-drgCKhvg/?mid=tScM8Foo
fiaYUjbf,12.12.25,N/A,SPAIN - LALIGA2 - ROUND 21,Cultural Leonesa,Huesca,UytPaaEP,O6FowKBc,0,2,finished,https://www.flashscore.com/match/football/huesca-UytPaaEP/leonesa-O6FowKBc/?mid=fiaYUjbf
pvoZcv9D,12.12.25,N/A,SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 19,CE Europa,Antequera,UTX26rhg,UkEeaAlL,2,0,finished,https://www.flashscore.com/match/football/antequera-UTX26rhg/ce-europa-UkEeaAlL/?mid=pvoZcv9D
Y3NSxrr3,12.12.25,N/A,FRANCE - COUPE DE FRANCE - 1/16-FINALS,Angers,Nantes,SAlF91iL,veuetnGG,4,1,finished,https://www.flashscore.com/match/football/angers-SAlF91iL/nantes-veuetnGG/?mid=Y3NSxrr3
UsuyvNl3,12.12.25,N/A,ITALY - SERIE A - ROUND 20,Lecce,Pisa,G8lYsMgU,roasMsOT,1,0,finished,https://www.flashscore.com/match/football/lecce-G8lYsMgU/pisa-roasMsOT/?mid=UsuyvNl3
j5RptEQH,12.12.25,N/A,BELGIUM - JUPILER PRO LEAGUE - ROUND 20,St. Liege,Leuven,dYlTycNN,vsnvCI6G,0,1,finished,https://www.flashscore.com/match/football/leuven-dYlTycNN/st-liege-vsnvCI6G/?mid=j5RptEQH
nikzenLh,12.12.25,N/A,NORTHERN IRELAND - IRISH CUP - 1/16-FINALS,Coleraine,Bangor FC,l85WT9To,2B9zTTrh,2,0,finished,https://www.flashscore.com/match/football/bangor-fc-l85WT9To/coleraine-2B9zTTrh/?mid=nikzenLh
6g5ygQk5,12.12.25,N/A,NORTHERN IRELAND - IRISH CUP - 1/16-FINALS,Larne,Glentoran,Uax8a0SC,44wiLnI5,1,0,finished,https://www.flashscore.com/match/football/glentoran-Uax8a0SC/larne-44wiLnI5/?mid=6g5ygQk5
beErPng3,12.12.25,N/A,SCOTLAND - CHAMPIONSHIP - ROUND 22,Ayr,St Johnstone,ruTxaWrd,ULK83EjM,2,4,finished,https://www.flashscore.com/match/football/ayr-ruTxaWrd/st-johnstone-ULK83EjM/?mid=beErPng3
vBaBbOi3,12.12.2025,19:45,WALES - Cymru North,Flint Mountain,Mold Alexandra,biWWzDD9,Es9411nk,,,scheduled,https://www.flashscore.com/match/football/flint-mountain-biWWzDD9/mold-alexandra-Es9411nk/?mid=vBaBbOi3
McVk3O4b,12.12.25,N/A,SPAIN - LALIGA - ROUND 19,Real Sociedad,Girona,nNNpcUSL,jNvak2f3,1,2,finished,https://www.flashscore.com/match/football/girona-nNNpcUSL/real-sociedad-jNvak2f3/?mid=McVk3O4b
EskJ7jo4,12.12.25,N/A,ENGLAND - CHAMPIONSHIP - ROUND 26,West Brom,Sheffield Utd,MeKPSerA,CCBWpzjj,2,0,finished,https://www.flashscore.com/match/football/sheffield-utd-MeKPSerA/west-brom-CCBWpzjj/?mid=EskJ7jo4
dMMaXqlf,12.12.25,N/A,FRANCE - COUPE DE FRANCE WOMEN - 1/16-FINALS,PSG W,Montpellier W,6yx58ded,8U7ZUNF2,2,2,finished,https://www.flashscore.com/match/football/montpellier-6yx58ded/psg-8U7ZUNF2/?mid=dMMaXqlf
nBBiHbn2,12.12.25,N/A,GIBRALTAR - NATIONAL LEAGUE - ROUND 16,Mons Calpe,St Josephs,69Ioq0e8,Gh9HoULa,1,3,finished,https://www.flashscore.com/match/football/mons-calpe-69Ioq0e8/st-josephs-Gh9HoULa/?mid=nBBiHbn2
lzzDbnsQ,12.12.25,N/A,MALTA - PREMIER LEAGUE - FIRST STAGE - PLAY OUT - ROUND 16,Hibernians,Tarxien,hWUCnRM1,I5Y7y9fg,1,0,finished,https://www.flashscore.com/match/football/hibernians-hWUCnRM1/tarxien-I5Y7y9fg/?mid=lzzDbnsQ
2uZd6JK7,12.12.25,N/A,PORTUGAL - LIGA PORTUGAL 2 - ROUND 17,Torreense,Feirense,t4p0iC41,8jQErKhN,2,3,finished,https://www.flashscore.com/match/football/feirense-t4p0iC41/torreense-8jQErKhN/?mid=2uZd6JK7
xWCan3lI,12.12.25,N/A,SPAIN - PRIMERA RFEF - GROUP 1 - ROUND 19,Cacereno,Zamora,EXTWwqkE,pGGsv0di,0,2,finished,https://www.flashscore.com/match/football/cacereno-EXTWwqkE/zamora-pGGsv0di/?mid=xWCan3lI
EX796DBk,12.12.25,N/A,DOMINICAN REPUBLIC - LDF - WINNERS STAGE - ROUND 1,Vega Real,Delfines Del Este,8Y886Yuh,MZLJ5HwG,0,2,finished,https://www.flashscore.com/match/football/delfines-del-este-8Y886Yuh/vega-real-MZLJ5HwG/?mid=EX796DBk
